ESTADO,EDAD,PROMEDIO ICFES,PROMEDIO_CARRERA,B,H,E,DESERTOR,
1,33,43.5,4.115789474,4.26,4,4.1125,1,
0,22,52.625,4.3,3.9,4.25,4.9,1,
0,22,39.75,2.33,1.607857143,3.71375,2.266,1,
1,30,47.76125,4.152857143,3.993333333,4.374615385,4.1848,0,
1,24,57.185,2.9915625,2.895555556,2.748333333,3.404444444,0,
0,23,44.08625,3.38,2,3.8,3.65,1,
0,25,45.015,3.330322581,2.8,3.99875,3.422727273,0,
1,28,40.5625,3.177058824,2.977857143,3.509,3.185,0,
1,25,47.1075,3.777804878,3.263,3.958888889,4.028421053,1,
0,32,44.55375,3.317391304,2.725,3.783333333,3.533333333,1,
0,25,56.875,3.935686275,3.4825,4.163636364,4.146521739,0,
0,24,44.47625,3.077380952,2.832142857,3.65625,3.0625,0,
0,25,47.06217754,3.65,3,4.1,3.3,1,
0,32,45.96625,4.012307692,3.6825,4.299090909,4.167083333,0,
0,22,54.5,4.38372549,4.1275,4.572,4.385416667,0,
0,24,56.44375,4.276862745,3.863333333,4.415454545,4.345217391,0,
1,33,49,3.671627907,3.699230769,3.847777778,3.647777778,1,
0,23,44.26125,3.66,3.9,3.95,3.25,1,
0,32,47.185,4.135714286,4.15,3.45,4.35,1,
0,35,50.75,4.179056604,4.018333333,4.350833333,4.197916667,0,
1,27,48.90875,3.994736842,3.598571429,4.208333333,4.1868,0,
0,23,42.75,3.352307692,2.974444444,3.928333333,3.347272727,0,
0,22,59,3.994666667,3.952727273,3.482222222,4.26952381,0,
1,25,44.915,4.150204082,4.186666667,4.244,4.061818182,0,
0,23,47.25,2.708333333,2.333333333,2.78,2.9,1,
0,23,41.625,3.633333333,1.6,4.133333333,3.9,1,
0,32,46.7125,3.673333333,3.455384615,3.377777778,3.940526316,0,
0,28,39.38,3.957555556,3.7625,4.135,3.974736842,0,
0,35,39.375,3.372727273,3.033333333,4.04,2.6,1,
0,5,46.875,3.775333333,3.59,3.396666667,4.0235,0,
0,25,48.25,2.04,1.166666667,2.2,2.7,1,
0,23,46.28625,2.14,2.4,1.8,2.166666667,1,
0,35,43,2.946666667,2.2,3.789043952,3.3,1,
0,23,39.5,3.665862069,3.486666667,3.44125,3.951,1,
0,22,42.5,3.82,3.686666667,4.123333333,3.757619048,0,
0,25,46.51125,3.833333333,2.7,4.333333333,3.65,1,
0,54,42.5,3.383333333,3.1,3.933333333,2.7,1,
0,24,42.655,3.804444444,3.6575,4.128888889,3.761,0,
1,25,44.3,2.651724138,1.7,2.253846154,3.74,1,
0,22,40.5,2.466666667,1.8,2.6,2.6,1,
0,22,43.25,2.916666667,1.7,3.666666667,2.4,1,
0,20,41.125,3.662608696,3.425833333,4.012222222,3.657619048,0,
0,27,39.44125,3.447826087,2.414285714,3.557142857,4.166666667,1,
0,21,53.625,2.075,1.233333333,3.2,1.68,1,
0,25,43.43875,0.083333333,3.194817293,3.789043952,0.25,1,
0,21,48.625,4.323777778,4.29,4.408888889,4.21,0,
0,29,44.89125,4.12,3.9,4.25,4.1,1,
0,21,42.125,3.616666667,1.5,4.266666667,3.7,1,
0,24,48.365,2.233333333,1.2,2.366666667,2.55,1,
0,31,43.3775,2.799090909,3.033333333,3.7325,2.257619048,0,
0,21,48.875,3.733333333,2.7,4.2,3.55,1,
0,23,45.5,3.84675,3.860909091,4.042222222,3.668235294,1,
0,23,42.375,2.25,2.06,2.371428571,2.275,1,
0,21,42.25,2.366666667,2.1,2.366666667,2.5,1,
0,23,44.75,2.905416667,2.545555556,3.41,2.86875,1,
0,23,63.375,3.672325581,3.73,3.713,3.535555556,1,
0,20,51.75,4.75,4.6,4.866666667,4.65,1,
1,26,43.4,2.675,1.1,3.6,1.15,1,
1,31,46.5425,3.12475,2.77,3.007272727,3.599230769,0,
0,40,39,3.515945946,3.26,4.107142857,3.455714286,0,
0,28,45.0025,3.827555556,3.57,4.14,3.8495,0,
0,28,46.7925,3.6,3.6,3.9,3.3,1,
1,24,47.65625,3.635510204,3.274,3.926666667,3.77047619,0,
1,30,47.0975,2.445454545,1.6875,2.05,3.233333333,1,
0,25,54.27125,3.950243902,3.785,4.162,3.959444444,0,
0,21,45.25,3.899111111,3.8625,4.003333333,3.88,0,
1,30,46.78,2.90137931,2.2375,3.748888889,2.94375,1,
1,25,46.37375,3.816122449,3.546666667,4.163,3.87047619,0,
0,44,54.16666667,4.103157895,3.9175,4.155,4.2024,0,
1,33,47.06217754,4.119464286,3.786923077,4.3225,4.1892,0,
1,35,45.75,4.170892857,3.9075,4.316923077,4.1876,0,
1,35,42.375,3.319090909,2.429090909,3.517142857,3.588461538,0,
1,39,53.83125,4.113103448,3.479333333,4.379230769,4.444583333,0,
0,27,41,1.66,0.8,3.2,0.55,1,
0,21,37.25,3.249428571,3.025454545,3.712,3.015833333,0,
0,23,50.125,4.101,4.082727273,4.38625,3.973888889,0,
1,27,41.72625,4.034146341,3.799090909,4.358,3.927058824,0,
0,21,43,3.527777778,3.25,4.083333333,3.25,1,
